size,result,time_us
70, 4.226450e+32, 51710
61, -1.016160e+25, 34619
67, 3.652415e+30, 45464
39, 3.536635e+13, 9655
77, -3.440439e+36, 68302
41, 8.477888e+13, 11128
32, 4.124890e+10, 5547
48, 4.917160e+18, 17258
50, 1.260541e+19, 19518
37, -1.269046e+11, 8379
40, 4.884039e+12, 10294
21, 70795.557620, 1952
22, 67854.395481, 2149
61, 1.334584e+26, 34595
60, -7.692482e+25, 32912
65, 2.147038e+28, 41656
94, 4.052484e+48, 122827
47, 1.064854e+17, 16370
25, -498684.076428, 2997
33, -1.994607e+10, 6090
93, -7.651238e+50, 119016
27, 1128838.570256, 3643
49, -1.983834e+19, 18384
64, 4.991686e+28, 39706
49, -8.295661e+18, 18440
83, -2.228027e+42, 85132
57, 8.994746e+22, 28467
62, 4.134256e+27, 36316
49, -1.719576e+19, 18437
53, -4.146431e+21, 23046
36, 1.809030e+11, 7689
78, 1.937754e+37, 70958
59, 2.226010e+25, 31425
68, -1.086744e+31, 47409
65, -1.095375e+29, 41647
100, -1.310254e+54, 147267
28, 25885420.737643, 3922
97, -1.275974e+51, 134787
60, -5.583047e+25, 32902
7, -1.553602, 172
13, -36.580276, 467
86, -6.124337e+44, 94511
86, 7.052400e+44, 94478
54, -3.786397e+18, 24322
74, 3.000746e+35, 60812
72, 2.439269e+34, 55973
47, -2.179970e+15, 16336
32, -3.493846e+09, 5548
69, -3.552015e+29, 49572
45, -4.179190e+16, 14448
68, 1.589305e+30, 47365
60, 1.751038e+25, 32890
41, -9.062365e+12, 11139
37, 2.538379e+11, 8355
61, -1.732112e+26, 34600
76, -1.854956e+37, 65604
79, 8.333986e+38, 73608
72, -2.425083e+32, 55976
93, 1.956492e+49, 119038
14, 72.064727, 574
14, -47.429500, 513
27, -62364455.679071, 3608
10, 4.892806, 276
30, 849285805.793372, 4701
36, 9.051494e+10, 7683
76, 4.723053e+37, 65626
44, 1.306778e+16, 13472
74, -2.206198e+35, 60795
86, 1.369805e+44, 94468
93, 6.010294e+49, 119015
17, -454.428517, 1289
36, 5.907628e+09, 7671
72, 9.717607e+33, 55993
67, -2.824609e+31, 45476
72, -4.689600e+34, 55989
8, -3.321824, 210
37, 3.983584e+11, 8347
84, -2.053813e+41, 88047
41, -3.507585e+12, 11146
63, -1.529984e+27, 38000
71, 4.426435e+31, 53832
51, 1.201549e+21, 20659
84, -2.348060e+42, 88048
28, -4013505.734532, 3911
88, 3.906377e+45, 100952
77, 1.615072e+37, 68316
95, 9.542219e+50, 126686
43, -5.871855e+14, 12719
56, -1.276173e+23, 26950
23, -912303.784757, 2431
100, -4.538255e+53, 147226
25, 604159.727972, 2997
61, -5.631751e+26, 34560
95, 8.312255e+49, 126662
30, 1.206081e+09, 4771
23, -532928.301163, 2438
86, 2.605195e+44, 94448
74, 3.053242e+36, 60811
94, -7.929369e+49, 122841
96, -1.574676e+51, 130519
47, 1.126212e+18, 16338
93, 6.641956e+49, 118997
44, 3.996749e+16, 13469
20, 4131.020629, 1715
26, 48881136.015362, 3299
49, 1.946831e+17, 18416
81, -7.831847e+38, 79325
82, -2.435173e+40, 82167
23, 23977.622118, 2435
47, 3.384666e+17, 16303
48, -1.476323e+18, 17284
16, 973.654929, 799
28, 30839140.006042, 3874
28, 19776281.788996, 3904
53, -1.713979e+22, 23051
27, -661986.384030, 3627
55, 2.716428e+22, 25586
69, 1.609023e+32, 49585
55, 3.376846e+23, 25668
61, -1.271305e+26, 34631
86, -8.960184e+42, 94502
23, 134775.859624, 2455
16, 92.848105, 773
63, 2.397438e+26, 37970
76, -2.708216e+35, 65637
44, -1.454639e+16, 13466
50, -6.455237e+20, 19529
56, 1.076174e+24, 26918
11, -6.456304, 347
63, -1.567717e+28, 37981
90, -1.635762e+45, 108056
15, -7.103959, 693
48, 2.807960e+18, 17268
21, -54425.826062, 1957
54, -3.271764e+20, 24319
34, -2.747829e+09, 6659
35, -1.056541e+12, 7203
13, 2.796626, 498
12, 0.873216, 363
68, -8.335740e+30, 47359
95, -1.680830e+51, 126670
84, -5.141424e+41, 88046
37, 2.728855e+12, 8360
100, 2.899432e+53, 147278
17, 122.846683, 1274
52, 2.721740e+21, 21723
58, -3.160381e+25, 29945
20, 2234.735503, 1713
25, -404229.016492, 2995
84, 5.942482e+42, 88030
97, 4.310014e+52, 134777
92, -7.503758e+44, 115127
86, -6.798805e+43, 94500
94, -1.891726e+49, 122802
88, 4.227538e+45, 100977
93, -2.394967e+49, 119003
13, -10.873406, 497
79, -4.034455e+40, 73627
45, 2.089161e+16, 14449
94, -5.994164e+49, 122812
40, 1.608520e+13, 10285
99, 1.545127e+51, 143064
87, -4.614138e+44, 97743
16, 9.386071, 808
34, 2.222554e+10, 6647
85, 1.826403e+43, 91321
93, -4.331868e+49, 119032
46, -2.573394e+15, 15389
58, 2.609543e+25, 29947
42, 1.480085e+15, 11916
59, -1.647229e+24, 31438
18, -1061.814119, 1420
24, 665606.498057, 2618
95, 9.161425e+49, 126611
37, 2.915941e+12, 8366
17, 199.918543, 1265
24, 1347593.892429, 2586
92, -6.510549e+47, 115128
27, 3272317.624605, 3662
95, 6.242239e+49, 126623
89, -1.106616e+46, 104560
50, -4.018282e+19, 19563
