X,Y,Z,time_us
72,45,64,75905
21,75,74,41976
57,36,7,5486
54,100,55,105757
34,12,82,13875
59,87,58,106620
23,32,100,27241
74,52,59,82421
66,14,91,34295
91,78,87,221238
29,29,59,18754
14,99,100,49635
84,82,58,142547
37,37,56,28479
79,50,33,47413
5,86,44,6964
76,65,8,14507
40,5,82,7902
39,45,73,47111
96,29,42,44019
82,33,98,97752
55,8,100,19001
18,70,83,37872
37,95,15,19072
14,28,85,12645
41,9,83,13066
48,20,8,3095
12,37,42,7011
53,32,75,47041
27,52,52,26646
9,47,56,8821
62,12,10,3199
30,94,8,8280
27,96,82,75588
38,29,28,11716
95,99,57,190592
21,57,96,41557
28,89,15,13502
19,30,56,12107
7,39,14,1517
67,27,39,26648
37,41,100,55480
36,38,77,39084
12,33,49,7277
41,55,60,49305
59,28,21,13192
69,46,76,88302
75,36,24,24111
55,82,32,51691
97,77,45,120604
68,62,85,129461
51,79,58,83968
11,6,87,2724
54,61,51,60779
83,46,31,43486
94,83,73,203177
62,40,45,40788
97,47,17,28656
79,100,79,221835
12,15,19,1495
80,15,93,45271
46,73,14,17040
47,97,32,52029
100,70,5,13055
15,28,62,9898
83,48,39,56325
81,17,29,15630
17,68,94,39269
65,26,43,27423
85,42,58,75629
13,36,84,14667
8,23,50,3650
11,85,77,25990
47,71,74,89005
67,71,95,162615
89,31,5,5424
61,16,90,34257
87,12,15,6586
11,47,46,8848
77,83,36,82355
27,83,30,24184
86,16,36,19389
83,96,57,161222
81,96,5,14295
32,9,53,6575
52,11,70,16717
16,96,100,54851
35,47,47,28444
88,43,62,85733
14,68,19,6654
31,86,48,45939
78,46,18,23856
75,40,24,26419
9,88,92,26188
12,37,85,14102
31,11,10,1522
47,65,58,63637
94,93,25,78282
77,17,50,25517
21,69,18,9544
5,67,35,4363
20,42,20,6254
91,77,50,125653
79,19,72,41923
98,67,52,122679
74,82,84,181716
57,48,31,30835
92,5,17,3853
27,68,71,46985
30,87,13,12360
94,28,16,16009
46,68,60,67550
95,37,88,114276
60,87,28,52558
65,13,59,20501
28,77,91,70461
23,80,11,7385
74,41,70,77481
99,38,71,98751
77,27,64,50020
70,15,74,31557
54,78,32,48541
42,67,13,13352
53,12,64,16859
48,60,27,28230
75,60,44,71579
56,100,43,85819
7,77,87,17072
42,8,47,6888
91,89,8,23536
32,24,38,11053
24,37,32,10624
54,42,73,60492
90,59,15,29004
80,84,27,65063
68,86,21,44222
70,5,70,11769
72,59,59,90423
78,34,34,33405
31,30,63,22116
11,38,99,15470
93,44,52,77859
7,68,82,14265
25,14,25,3674
13,64,9,2808
75,35,25,24396
30,55,78,47042
23,92,29,22068
93,67,80,178883
88,50,74,117923
22,82,14,9194
58,78,65,105523
56,13,45,13507
72,30,66,53600
99,6,67,18408
37,56,69,51541
58,15,71,25098
68,30,63,48331
98,12,92,44652
25,69,77,48023
58,65,69,93318
20,97,37,25678
70,22,25,15004
48,60,61,63496
10,13,96,5204
79,39,7,8213
22,20,88,15075
65,86,52,104072
89,47,14,21708
79,99,77,213968
32,99,53,59883
95,51,69,121204
62,52,80,93601
18,59,50,19320
88,55,75,131934
50,8,81,14023
92,52,89,154357
25,93,80,66507
44,78,37,45724
13,59,48,13432
34,98,40,47549
77,40,88,98764
43,60,13,12317
91,81,46,120979
70,7,36,8002
61,95,98,202614
30,64,68,46913
61,72,42,66031
94,9,44,15880
45,18,73,23014
35,23,71,22123
64,37,93,81414
29,23,38,9874
44,91,6,8855
58,74,63,96771
69,73,76,136807
26,97,33,29759
62,64,15,21564
66,99,96,222825
62,47,98,104559
35,27,44,15729
61,77,25,42333
95,52,15,27162
92,51,38,64810
87,78,15,36864
50,56,97,97711
69,68,37,62565
96,84,38,109659
15,56,71,21633
95,70,25,60115
71,45,88,102828
38,98,98,129721
26,96,12,10842
25,94,64,53847
55,51,52,52996
65,93,38,82134
48,94,9,14801
14,76,67,25749
90,48,86,134301
96,66,85,193068
9,64,32,6750
60,60,90,116889
65,64,11,16660
13,25,25,3163
69,82,48,97018
96,69,51,121542
33,93,71,77840
61,52,65,74876
47,68,24,27767
69,32,36,29420
