size,result,time_us
64, 1.177026e+27, 5704
13, 8.948935, 157
61, -1.068516e+27, 5108
27, 9738703.000000, 861
73, -1.589876e+33, 8092
5, 0.416364, 57
12, -38.515007, 106
97, -inf, 17396
66, -1.832036e+30, 6269
93, -inf, 15484
50, -6.431253e+19, 3107
88, -inf, 13252
60, -4.502901e+24, 4828
97, -inf, 17392
85, -inf, 12109
22, -67541.757812, 536
33, -454617760.000000, 1184
41, -3.081206e+14, 1931
99, inf, 18556
10, 18.437443, 99
90, -inf, 14229
64, 1.104785e+28, 5670
54, -3.498577e+22, 3793
31, 607283008.000000, 1136
34, 1.023110e+11, 1279
63, -1.548883e+28, 5595
100, inf, 18757
49, 8.721930e+17, 2934
86, inf, 12632
25, 387339.281250, 689
11, -3.860043, 104
96, inf, 16718
79, inf, 10075
10, -1.021225, 91
89, inf, 13737
10, -2.493527, 89
27, -876948.062500, 822
55, 7.459512e+22, 3913
44, -1.135422e+16, 2268
40, -1.383471e+14, 1825
44, -2.052581e+15, 2274
20, -49423.386719, 466
29, 43610584.000000, 897
83, inf, 11464
42, 1.940637e+13, 2058
14, 15.253285, 167
80, -inf, 10251
89, inf, 13740
59, 7.239280e+25, 4739
37, -3.389848e+11, 1580
41, -4.112440e+14, 1967
35, -9.914782e+11, 1422
47, 6.336159e+16, 2698
59, 2.286993e+24, 4757
18, -251.856354, 412
60, 9.877127e+25, 4818
60, 8.006390e+25, 4860
65, 5.146197e+29, 6019
21, -32347.037109, 507
38, 1.428749e+12, 1620
17, 2873.784180, 375
72, -2.957461e+34, 7725
10, 2.480178, 102
47, -8.230057e+16, 2733
54, -1.453670e+21, 3801
67, 7.796116e+30, 6592
84, -inf, 11687
93, inf, 15444
17, -176.646439, 355
53, 5.294199e+21, 3520
17, -490.795258, 380
94, -inf, 15999
94, -inf, 15996
45, -3.378416e+17, 2390
72, -3.227342e+34, 7767
10, 4.422813, 104
75, 2.107560e+35, 8826
48, -2.990061e+18, 2805
55, 7.671129e+22, 3999
10, 0.976925, 99
14, -7.509659, 147
71, 5.987238e+32, 7638
24, -3784944.750000, 639
22, 48708.003906, 543
64, -5.789830e+27, 5665
6, -0.119954, 62
15, -75.188156, 181
45, -4.495280e+17, 2405
94, -inf, 16033
81, inf, 10668
67, -2.022033e+29, 6537
41, -1.767405e+13, 1980
19, 5393.051758, 454
6, 0.074444, 42
53, 3.599362e+20, 3548
81, -inf, 10716
66, 3.273778e+29, 6279
71, 1.672515e+32, 7636
57, -1.014560e+24, 4329
68, 3.576795e+29, 6696
33, 5.837969e+10, 1260
50, -3.488670e+18, 3149
7, 1.028388, 67
93, inf, 15477
41, -5.939950e+14, 1949
77, 8.146385e+36, 9381
38, -4.926580e+12, 1692
63, 8.570417e+27, 5603
50, 3.792003e+19, 3154
63, 3.604117e+27, 5609
12, 1.494876, 132
13, 0.110802, 127
80, -inf, 10254
33, -4.631484e+09, 1227
100, inf, 18753
15, -999.318420, 184
18, -265.395905, 385
36, 6.801011e+11, 1380
6, -0.406085, 53
90, -inf, 14273
14, 313.739166, 156
41, 1.051871e+14, 1939
24, -9510.798828, 648
47, 6.091459e+18, 2705
18, 1990.958984, 415
100, inf, 18701
88, -inf, 13207
11, 0.085073, 113
61, -4.481419e+25, 5075
11, -52.607536, 113
8, -0.440327, 59
43, 1.228873e+16, 2202
75, 1.720749e+35, 8839
99, inf, 18545
33, -1.703574e+10, 1224
36, 1.158587e+12, 1473
20, 7316.446777, 460
79, -inf, 10089
25, -8167718.000000, 672
42, 5.242271e+12, 2027
95, inf, 16571
84, -inf, 11665
57, 5.576282e+23, 4286
39, 8.734947e+12, 1795
6, -0.003019, 61
55, -3.402904e+22, 3966
79, 2.376231e+38, 10118
14, -19.409374, 169
89, inf, 13771
44, 3.321754e+15, 2234
9, -0.187497, 89
13, -15.484114, 127
21, 65206.199219, 519
24, -23949.072266, 591
40, 4.561618e+13, 1753
43, -2.024140e+15, 2217
73, 1.418008e+35, 8140
57, 2.827500e+23, 4315
87, -inf, 13083
52, -6.660355e+21, 3357
41, 9.279570e+13, 2006
82, -inf, 11113
43, -1.267887e+16, 2183
51, 2.035687e+20, 3317
96, inf, 16767
7, -3.114449, 66
73, 1.635401e+34, 8106
8, -3.536516, 78
38, -2.312499e+13, 1671
65, 4.062025e+28, 6023
43, -2.115030e+15, 2231
20, -684.052917, 478
45, 7.102650e+15, 2363
18, -252.599899, 415
34, -2.995018e+10, 1281
59, 2.109651e+23, 4764
7, -1.084713, 68
17, 2477.350830, 366
63, 8.096710e+28, 5580
30, -72918776.000000, 1045
91, -inf, 14724
12, 25.779118, 128
56, 2.602054e+22, 4046
26, 678421.062500, 801
27, -41553116.000000, 785
24, 999456.750000, 591
9, -24.200682, 70
78, 5.733376e+37, 9677
70, 5.189374e+32, 7329
100, -inf, 18749
34, -2.368476e+11, 1313
98, inf, 17956
70, -3.576513e+32, 7282
10, 1.378252, 100
71, -1.644758e+33, 7635
65, -1.619424e+28, 6030
23, 15333.121094, 625
88, -inf, 13213
30, -408804448.000000, 1023
29, 83110264.000000, 884
75, 7.527598e+35, 8756
21, 25314.568359, 502
61, -7.383233e+26, 5084
68, -1.961438e+31, 6697
62, 2.230062e+26, 5361
42, -3.571860e+14, 2094
6, 0.009058, 64
35, 4.016595e+10, 1421
59, 5.111554e+24, 4770
83, -inf, 11527
51, 8.810321e+19, 3288
34, 4.118369e+09, 1348
60, 4.510436e+26, 4834
8, -0.046893, 74
61, -9.333222e+25, 5095
98, inf, 17960
70, -7.114441e+30, 7300
5, -0.302318, 63
88, inf, 13260
89, inf, 13725
93, inf, 15453
34, -1.989735e+10, 1297
16, 1832.081665, 213
61, 4.031954e+25, 5088
67, -1.133519e+31, 6580
64, 2.345241e+27, 5738
57, 3.664309e+22, 4327
61, -7.085436e+26, 5112
92, -inf, 14962
100, -inf, 18706
6, 1.002212, 58
45, -9.487328e+16, 2393
47, 7.456006e+17, 2729
41, 7.635864e+14, 1964
24, 33899.468750, 638
54, 3.713750e+22, 3767
78, 3.615854e+37, 9725
91, -inf, 14753
73, -4.343923e+35, 8100
52, 4.110917e+18, 3386
79, -1.433993e+38, 10118
48, -6.455116e+18, 2804
48, -8.659459e+15, 2783
87, inf, 13078
46, 8.710675e+17, 2535
50, 5.813417e+17, 3138
84, inf, 11703
88, -inf, 13203
53, 5.791313e+21, 3546
44, 1.122583e+16, 2278
58, 1.017633e+24, 4537
78, 2.850437e+36, 9724
29, -18304404.000000, 961
31, -2.790738e+09, 1032
56, -7.906359e+19, 4077
39, 2.333261e+13, 1790
92, -inf, 14935
99, inf, 18494
68, -8.911122e+31, 6649
31, 412568672.000000, 1117
32, 1.128165e+09, 1121
7, 0.007374, 58
39, -5.557211e+12, 1754
26, 1868693.125000, 807
30, 268296544.000000, 965
53, 1.747305e+21, 3511
86, inf, 12610
13, -0.111171, 186
60, -2.319576e+25, 4814
62, -1.469661e+27, 5371
50, -1.077814e+18, 3156
90, -inf, 14269
80, inf, 10220
44, -3.834581e+15, 2234
18, -5202.806152, 417
91, -inf, 14705
61, 2.312677e+27, 5086
49, 1.340533e+19, 2969
8, 0.007896, 82
90, inf, 14256
35, -7.397630e+09, 1376
74, 2.323123e+34, 8497
33, 1.301393e+11, 1258
99, inf, 18514
21, 8733.175781, 476
90, inf, 14216
75, -8.835842e+35, 8776
39, 2.195029e+12, 1800
67, 3.509066e+30, 6577
63, 9.382930e+26, 5611
42, 8.771344e+14, 2092
90, -inf, 14258
32, -154830800.000000, 1124
98, -inf, 17924
6, -0.433205, 52
66, 1.542853e+29, 6267
48, 2.647575e+17, 2786
59, 5.583265e+24, 4781
79, -inf, 10113
22, 169137.046875, 543
35, -2.057644e+11, 1353
24, -655829.812500, 654
38, 1.175214e+13, 1646
44, -4.501602e+14, 2277
21, -31082.572266, 511
93, inf, 15470
30, 19883078.000000, 1019
29, 1407523.000000, 876
99, inf, 18474
28, -15241812.000000, 842
18, 247.164047, 363
70, -1.030398e+33, 7259
29, 320614144.000000, 961
40, 2.328485e+13, 1801
86, -inf, 12623
80, -inf, 10218
52, -3.240425e+20, 3358
13, 52.980690, 157
94, inf, 16031
72, 6.307337e+34, 7718
26, -3143234.500000, 796
59, -1.255810e+25, 4705
94, -inf, 16049
63, 1.535947e+28, 5572
84, -inf, 11688
42, 1.607455e+15, 2057
58, -4.716498e+24, 4540
87, -inf, 13077
57, 2.196307e+24, 4289
65, 1.106828e+27, 6037
57, 1.850085e+24, 4328
79, -inf, 10118
35, -5.090189e+10, 1394
86, inf, 12626
71, -2.851764e+32, 7601
41, 4.557740e+14, 1986
52, 1.731796e+20, 3385
42, -4.929405e+12, 2093
74, -8.367614e+35, 8476
30, -96416040.000000, 1047
100, inf, 18692
14, -50.759853, 159
80, -inf, 10231
12, 20.220125, 120
13, -9.122740, 124
85, inf, 12130
23, 249214.812500, 572
50, 1.407082e+18, 3077
54, -2.886004e+20, 3792
31, -1.597324e+09, 1123
59, -1.922189e+26, 4776
100, inf, 18752
34, 5.646500e+10, 1307
43, 5.296483e+14, 2216
10, -0.256239, 97
26, -6044147.500000, 784
87, inf, 13020
94, -inf, 16003
90, -inf, 14211
24, -1728910.375000, 601
85, inf, 12094
42, -2.434169e+13, 2061
81, inf, 10715
65, -3.351286e+27, 5993
14, -77.774696, 173
22, -27864.421875, 603
79, -3.363183e+37, 10066
69, -5.187956e+31, 7008
28, -1605034.750000, 893
40, 6.514507e+12, 1753
84, inf, 11690
78, -1.850723e+37, 9698
33, 7.512830e+09, 1263
41, 2.415383e+15, 1966
6, -0.553462, 55
32, 1.325453e+09, 1140
40, -1.449908e+14, 1807
33, 1.117401e+10, 1245
88, inf, 13246
76, 3.152741e+36, 8916
83, -inf, 11531
51, -1.086358e+20, 3286
46, 2.287140e+17, 2580
22, -353013.468750, 570
60, 2.212132e+27, 4803
14, 107.893753, 170
85, -inf, 12157
40, 4.689122e+13, 1806
11, -3.208896, 119
18, -158.615631, 406
9, -0.029963, 73
76, 9.214559e+35, 8919
5, -0.529581, 57
44, -4.408621e+15, 2260
65, -2.950887e+28, 6028
16, -177.089874, 219
49, 5.539257e+18, 2963
65, 9.003811e+28, 6027
7, 0.422816, 73
36, 9.023489e+11, 1452
15, -23.102213, 187
18, 23910.367188, 431
36, -4.650779e+10, 1409
82, inf, 11107
13, 15.777892, 189
37, 3.458216e+11, 1548
60, -1.296129e+26, 4863
91, inf, 14762
68, -7.384907e+31, 6649
62, -6.910319e+24, 5365
95, inf, 16584
33, 3.567589e+09, 1218
49, -4.105723e+18, 2987
93, inf, 15484
17, 734.285889, 349
7, 0.203681, 57
19, -365.275116, 413
54, 5.831502e+21, 3722
92, -inf, 14948
75, 6.445238e+35, 8780
41, -3.999254e+14, 1978
15, 15.295443, 193
30, 312340608.000000, 1027
97, -inf, 17354
74, -1.099097e+36, 8434
86, -inf, 12624
73, 1.008075e+35, 8106
27, 2399343.250000, 859
74, 3.306486e+35, 8420
45, 9.586758e+15, 2413
10, -10.759272, 100
86, -inf, 12607
95, -inf, 16530
18, -811.103516, 385
40, -1.056627e+14, 1749
90, -inf, 14270
53, -1.445301e+20, 3542
25, -184295.078125, 748
63, -4.912255e+28, 5568
40, -2.712316e+14, 1835
28, -2877626.500000, 888
47, 4.932793e+18, 2652
64, -8.608266e+27, 5716
95, -inf, 16582
61, -5.113142e+25, 5113
53, -2.070797e+21, 3585
99, -inf, 18537
58, -2.223387e+25, 4509
45, -1.117952e+17, 2436
15, -143.080185, 190
13, 2.238868, 136
66, -3.553572e+29, 6292
40, 1.487696e+13, 1841
74, -2.610607e+34, 8478
73, 1.335592e+34, 8152
33, 1.778279e+10, 1240
14, 84.295967, 215
87, inf, 13061
89, inf, 13741
19, -258.041138, 410
74, -9.580902e+35, 8423
