––––––––––––––––– TESTING ALGORITHM –––––––––––––––––

SOURCE = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Q = 

[ -0.871769,   0.151698,   0.293328,  -0.361890]
40,46,6077,7.052030e-06

46,42,3658,6.172947e-06

42,46,6335,6.590596e-06

46,44,3904,7.023142e-06

44,46,6841,7.007437e-06

46,46,4098,6.305776e-06

48,18,1192,2.822730e-06

18,48,2426,4.282020e-06

48,20,1398,3.329337e-06

20,48,2679,5.008356e-06

48,22,1597,3.276434e-06

22,48,3028,5.291713e-06

48,24,1766,4.008985e-06

24,48,3246,5.124326e-06

48,26,1971,4.458618e-06

26,48,3772,5.015595e-06

48,28,2179,4.258702e-06

28,48,3948,5.603704e-06

48,30,2398,4.339858e-06

30,48,4412,6.261079e-06

48,32,2735,5.139454e-06

32,48,4648,6.237278e-06

48,34,2843,5.280081e-06

34,48,5186,5.955121e-06

48,36,3096,5.903005e-06

36,48,5425,6.851934e-06

48,38,3339,5.977557e-06

38,48,5957,7.589827e-06

48,40,3576,6.597684e-06

40,48,6207,6.830333e-06

48,42,3830,6.519945e-06

42,48,6777,6.728113e-06

48,44,4061,6.538462e-06

44,48,7009,6.912490e-06

48,46,4324,6.978365e-06

46,48,7579,6.919318e-06

48,48,4571,7.363370e-06

50,18,1229,3.107649e-06

18,50,2428,4.827518e-06

50,20,1451,3.349797e-06

20,50,2847,4.457997e-06

50,22,1622,3.891067e-06

22,50,3066,5.296754e-06

50,24,1837,3.677286e-06

24,50,3431,6.255443e-06

50,26,2040,4.469332e-06

26,50,3857,5.896609e-06

50,28,2369,4.676875e-06

28,50,4188,6.485265e-06

50,30,2488,5.328768e-06

30,50,4492,6.443165e-06

50,32,2726,5.187384e-06

32,50,4926,6.831828e-06

50,34,2975,5.465792e-06

34,50,5270,7.019193e-06

50,36,3220,5.656594e-06

36,50,5791,7.134537e-06

50,38,3484,5.698683e-06

38,50,6075,6.967765e-06

50,40,3745,6.021154e-06

40,50,6585,7.099260e-06

50,42,3992,6.780313e-06

42,50,6930,7.326417e-06

50,44,4255,6.779927e-06

44,50,7501,7.740441e-06

50,46,4530,7.034407e-06

46,50,7780,8.331032e-06

50,48,4804,7.720670e-06

48,50,8346,7.288670e-06

50,50,8881,8.558867e-06

52,20,1571,3.957653e-06

20,52,2826,5.587619e-06

52,22,1710,4.497334e-06

22,52,3215,5.176939e-06

52,24,1900,4.278031e-06

24,52,3475,5.908750e-06

52,26,2126,4.749138e-06

26,52,3967,6.123342e-06

52,28,2342,4.949126e-06

28,52,4250,6.286155e-06

52,30,2687,5.552080e-06

30,52,4742,6.832432e-06

