X,Y,Z,time_us
65,89,117,851788
117,89,77,1009333
89,117,77,1004451
117,77,89,1014251
77,89,117,1009290
117,89,89,1166545
89,117,89,1161134
89,89,117,1166306
117,101,53,787420
101,117,53,784882
117,53,101,801238
53,101,117,787233
117,101,65,965110
101,117,65,962392
117,65,101,974677
65,101,117,965197
117,101,77,1143418
101,117,77,1140184
117,77,101,1150371
77,101,117,1143331
117,101,89,1321424
101,117,89,1317423
117,89,101,1323995
89,101,117,1321265
117,101,101,1499695
101,117,101,1495042
101,101,117,1499136
117,113,53,877988
113,117,53,878345
117,53,113,896445
53,113,117,877711
117,113,65,1076799
113,117,65,1076883
117,65,113,1090496
65,113,117,1076498
117,113,77,1275075
113,117,77,1275637
117,77,113,1287244
77,113,117,1275123
117,113,89,1473892
113,117,89,1474011
117,89,113,1480621
89,113,117,1473395
