X,Y,Z,time_us
122,151,109,62463
151,109,122,63086
109,122,151,62519
151,122,122,69942
122,151,122,69949
122,122,151,69926
151,135,70,45079
135,151,70,44908
151,70,135,46134
70,135,151,44743
151,135,83,53394
135,151,83,53188
151,83,135,53716
83,135,151,52965
151,135,96,61016
135,151,96,60787
151,96,135,61381
96,135,151,61191
151,135,109,69335
135,151,109,69078
151,109,135,69839
109,135,151,69416
151,135,122,77649
135,151,122,77356
151,122,135,77424
122,135,151,77641
151,135,135,85963
135,151,135,85640
135,135,151,85863
151,148,70,49053
148,151,70,49208
151,70,148,50202
70,148,151,48688
151,148,83,58096
148,151,83,58283
151,83,148,58477
83,148,151,57637
151,148,96,66409
148,151,96,66612
151,96,148,66821
96,148,151,66591
151,148,109,75460
148,151,109,75693
151,109,148,76031
109,148,151,75540
151,148,122,84503
148,151,122,84767
151,122,148,84304
122,148,151,84491
151,148,135,93546
148,151,135,93845
151,135,148,93583
135,148,151,93437
151,148,148,101856
148,151,148,102170
148,148,151,102387
158,70,70,25321
70,158,70,24424
70,70,158,25066
158,83,70,29477
83,158,70,28916
158,70,83,29989
70,83,158,29190
158,83,83,34912
83,158,83,34239
83,83,158,34554
158,96,70,33681
96,158,70,33398
158,70,96,34247
70,96,158,33354
158,96,83,39885
96,158,83,39554
158,83,96,39886
83,96,158,39486
158,96,96,45583
96,158,96,45208
96,96,158,45612
158,109,70,38316
109,158,70,37887
158,70,109,38922
70,109,158,37948
158,109,83,45384
109,158,83,44870
158,83,109,45328
83,109,158,44920
158,109,96,51861
109,158,96,51280
158,96,109,51797
96,109,158,51899
158,109,109,58930
109,158,109,58274
109,109,158,58871
158,122,70,42472
122,158,70,42370
158,70,122,43592
70,122,158,42074
158,122,83,50300
122,158,83,50185
158,83,122,50763
83,122,158,49806
158,122,96,57499
122,158,96,57358
158,96,122,58001
96,122,158,57539
158,122,109,65336
122,158,109,65181
158,109,122,65995
109,122,158,65271
158,122,122,73164
122,158,122,72990
122,122,158,72998
158,135,70,47159
135,158,70,46857
158,70,135,48261
70,135,158,46705
158,135,83,55856
135,158,83,55496
158,83,135,56198
83,135,158,55290
158,135,96,63828
135,158,96,63434
158,96,135,64212
96,135,158,63872
158,135,109,72536
135,158,109,72081
158,109,135,73064
109,135,158,72461
158,135,122,81229
135,158,122,80721
158,122,135,80994
122,135,158,81045
158,135,135,89930
135,158,135,89362
135,135,158,89632
158,148,70,51314
148,158,70,51348
158,70,148,52515
70,148,158,50830
158,148,83,60777
148,158,83,60810
158,83,148,61176
83,148,158,60175
158,148,96,69471
148,158,96,69507
158,96,148,69907
96,148,158,69516
158,148,109,78943
148,158,109,78985
158,109,148,79538
109,148,158,78859
158,148,122,88402
148,158,122,88449
158,122,148,88194
122,148,158,88204
158,148,135,97862
148,158,135,97917
158,135,148,97899
135,148,158,97547
158,148,148,106555
148,158,148,106613
148,148,158,106889
165,75,75,30027
75,165,75,29231
75,75,165,29605
165,89,75,35129
89,165,75,34634
165,75,89,35257
75,89,165,34647
165,89,89,41258
89,165,89,40674
89,89,165,41053
165,103,75,40837
103,165,75,40033
165,75,103,40901
75,103,165,40259
165,103,89,47936
103,165,89,47016
165,89,103,47862
89,103,165,47698
165,103,103,55631
103,165,103,54546
103,103,165,55140
165,117,75,45939
117,165,75,45437
165,75,117,46132
75,117,165,45302
165,117,89,53940
117,165,89,53360
165,89,117,53990
89,117,165,53674
165,117,103,62591
117,165,103,61905
165,103,117,62732
103,117,165,62054
165,117,117,70596
117,165,117,69835
117,117,165,70422
165,131,75,51043
131,165,75,50834
165,75,131,51780
75,131,165,50345
165,131,89,59947
131,165,89,59702
165,89,131,60597
89,131,165,59651
165,131,103,69550
131,165,103,69269
165,103,131,70428
103,131,165,68966
165,131,117,78454
131,165,117,78136
165,117,131,79245
117,131,165,78271
165,131,131,88060
131,165,131,87700
131,131,165,87577
165,145,75,56144
145,165,75,56240
165,75,145,57007
75,145,165,55393
165,145,89,65952
145,165,89,66047
165,89,145,66718
89,145,165,65633
165,145,103,76508
145,165,103,76625
165,103,145,77532
103,145,165,75874
165,145,117,86318
145,165,117,86439
165,117,145,87247
117,145,165,86113
165,145,131,96873
145,165,131,97022
165,131,145,96967
131,145,165,96356
165,145,145,106678
145,165,145,106832
145,145,165,106594
165,159,75,61851
159,165,75,61640
165,75,159,62660
75,159,165,60999
165,159,89,72631
159,165,89,72391
165,89,159,73332
89,159,165,72278
165,159,103,84276
159,165,103,83989
165,103,159,85224
103,159,165,83556
165,159,117,95057
159,165,117,94744
165,117,159,95898
117,159,165,94836
165,159,131,106703
159,165,131,106341
165,131,159,106567
131,159,165,106113
165,159,145,117485
159,165,145,117096
165,145,159,117236
145,159,165,117393
