M1:

5,25,17,1078

17,5,25,885

17,25,7,1234

25,17,7,1217

7,25,17,1424

17,7,25,1237

17,25,9,1585

25,17,9,1538

9,25,17,1705

17,9,25,1564

17,25,11,1920

25,17,11,1866

11,25,17,2031

17,11,25,1895

17,25,13,2244

25,17,13,2174

13,25,17,2369

17,13,25,2233

17,25,15,2585

25,17,15,2507

15,25,17,2688

17,15,25,2558

17,25,17,2901

25,17,17,2818

17,17,25,2891

19,25,5,1029

25,19,5,1003

5,25,19,1209

19,5,25,1003

19,25,7,1388

25,19,7,1341

7,25,19,1570

19,7,25,1356

19,25,9,1741

25,19,9,1702

9,25,19,1892

19,9,25,1744

19,25,11,2138

25,19,11,2078

11,25,19,2261

19,11,25,2114

19,25,13,2500

25,19,13,2423

13,25,19,2632

19,13,25,2478

19,25,15,2873

25,19,15,2789

15,25,19,3002

19,15,25,2851

19,25,17,3232

25,19,17,3132

17,25,19,3237

19,17,25,3226

19,25,19,3611

25,19,19,3503

19,19,25,3587

21,25,5,1126

25,21,5,1094

5,25,21,1324

21,5,25,1074

21,25,7,1543

25,21,7,1498

7,25,21,1741

21,7,25,1517

21,25,9,1938

25,21,9,1875

9,25,21,2085

21,9,25,1917

21,25,11,2357

25,21,11,2289

11,25,21,2493

21,11,25,2329

21,25,13,2750

25,21,13,2676

13,25,21,2896

21,13,25,2742

21,25,15,3167

25,21,15,3071

15,25,21,3302

21,15,25,3143

21,25,17,3558

25,21,17,3456

17,25,21,3560

21,17,25,3552

21,25,19,3981

25,21,19,3854

19,25,21,3967

21,19,25,3959

21,25,21,4377

25,21,21,4234

21,21,25,4364

23,25,5,1229

25,23,5,1174

5,25,23,1442

23,5,25,1172

23,25,7,1679

25,23,7,1638

7,25,23,1913

23,7,25,1648

23,25,9,2112

25,23,9,2049

9,25,23,2282

23,9,25,2093

23,25,11,2570

25,23,11,2503

11,25,23,2723

23,11,25,2536

23,25,13,3002

25,23,13,2915

13,25,23,3175

23,13,25,2983

23,25,15,3455

25,23,15,3365

15,25,23,3615

23,15,25,3426

23,25,17,3886

25,23,17,3771

17,25,23,3892

23,17,25,3875

23,25,19,4346

25,23,19,4209

19,25,23,4341

23,19,25,4319

23,25,21,4764

25,23,21,4617

21,25,23,4788

23,21,25,4765

23,25,23,5236

25,23,23,5069

23,23,25,5197

25,25,5,1285

5,25,25,1574

25,5,25,1262

25,25,7,1766

7,25,25,2065

25,7,25,1737

25,25,9,2225

9,25,25,2464

25,9,25,2205

25,25,11,2706

11,25,25,2953

25,11,25,2680

25,25,13,3155

13,25,25,3436

25,13,25,3147

25,25,15,3637

15,25,25,3919

25,15,25,3613

25,25,17,4088

17,25,25,4222

25,17,25,4079

25,25,19,4564

19,25,25,4706

25,19,25,4539

25,25,21,5013

21,25,25,5178

25,21,25,5009

25,25,23,5500

23,25,25,5649

25,23,25,5482

25,25,25,5954

25,25,25,5961

25,28,25,6661

28,25,25,6682

25,25,28,6649

28,28,25,7470

25,28,28,7430

28,25,28,7454

28,28,28,8332

25,31,25,7369

31,25,25,7398

25,25,31,7370

28,31,25,8265

31,28,25,8281

25,31,28,8225

28,25,31,8271

28,31,28,9222

31,28,28,9240

28,28,31,9262

31,31,25,9160

25,31,31,9135

31,25,31,9170

31,31,28,10238

28,31,31,10252

31,28,31,10262

31,31,31,11354

25,34,25,8070

34,25,25,7948

25,25,34,8071

28,34,25,9061

34,28,25,8893

25,34,28,9014

28,25,34,9054

28,34,28,10111

34,28,28,9927

28,28,34,10137

31,34,25,10044

34,31,25,9840

25,34,31,10006

31,25,34,10037

31,34,28,11209

34,31,28,10983

28,34,31,11230

31,28,34,11236

31,34,31,12443

34,31,31,12200

31,31,34,12428

34,34,25,10781

25,34,34,10952

34,25,34,10780

34,34,28,12038

28,34,34,12293

34,28,34,12066

34,34,31,13368

31,34,34,13624

34,31,34,13350

34,34,34,14636

25,37,25,8778

37,25,25,8674

25,25,37,8763

28,37,25,9853

37,28,25,9706

25,37,28,9804

28,25,37,9836

28,37,28,10998

37,28,28,10832

28,28,37,11010

31,37,25,10920

37,31,25,10740

25,37,31,10878

31,25,37,10902

31,37,28,12191

37,31,28,11983

28,37,31,12216

31,28,37,12197

31,37,31,13538

37,31,31,13311

31,31,37,13503

34,37,25,11729

37,34,25,11767

25,37,34,11909

34,25,37,11709

34,37,28,13094

37,34,28,13138

28,37,34,13368

34,28,37,13105

34,37,31,14536

37,34,31,14591

31,37,34,14817

34,31,37,14500

34,37,34,15913

37,34,34,15969

34,34,37,15894

37,37,25,12799

25,37,37,12941

37,25,37,12776

37,37,28,14289

28,37,37,14523

37,28,37,14301

37,37,31,15870

31,37,37,16102

37,31,37,15822

37,37,34,17384

34,37,37,17295

37,34,37,17351

37,37,37,18865

25,40,25,9489

40,25,25,9216

25,25,40,9453

28,40,25,10646

40,28,25,10317

25,40,28,10591

28,25,40,10612

28,40,28,11880

40,28,28,11518

28,28,40,11874

31,40,25,11802

40,31,25,11414

25,40,31,11755

31,25,40,11763

31,40,28,13174

40,31,28,12743

28,40,31,13199

31,28,40,13168

31,40,31,14633

40,31,31,14154

31,31,40,14567

34,40,25,12678

40,34,25,12513

25,40,34,12870

34,25,40,12636

34,40,28,14150

40,34,28,13968

28,40,34,14451

34,28,40,14134

34,40,31,15713

40,34,31,15520

31,40,34,16012

34,31,40,15645

34,40,34,17199

40,34,34,16984

34,34,40,17148

