M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]
41,26,17,693

17,41,26,764

26,17,41,702

26,41,20,824

41,26,20,795

20,41,26,884

26,20,41,819

26,41,23,979

41,26,23,924

23,41,26,1003

26,23,41,938

26,41,26,1071

41,26,26,1031

26,26,41,1057

29,41,17,814

41,29,17,762

17,41,29,833

29,17,41,788

29,41,20,920

41,29,20,863

20,41,29,979

29,20,41,915

29,41,23,1085

41,29,23,1022

23,41,29,1109

29,23,41,1041

29,41,26,1212

41,29,26,1145

26,41,29,1179

29,26,41,1176

29,41,29,1323

41,29,29,1252

29,29,41,1301

32,41,17,866

41,32,17,838

17,41,32,899

32,17,41,838

32,41,20,981

41,32,20,950

20,41,32,1056

32,20,41,969

32,41,23,1166

41,32,23,1128

23,41,32,1185

32,23,41,1123

32,41,26,1279

41,32,26,1246

26,41,32,1271

32,26,41,1257

32,41,29,1411

41,32,29,1370

29,41,32,1429

32,29,41,1400

32,41,32,1525

41,32,32,1485

32,32,41,1537

35,41,17,950

41,35,17,912

17,41,35,1005

35,17,41,915

35,41,20,1072

41,35,20,1041

20,41,35,1180

35,20,41,1057

35,41,23,1273

41,35,23,1241

23,41,35,1337

35,23,41,1212

35,41,26,1392

41,35,26,1365

26,41,35,1431

35,26,41,1369

35,41,29,1535

41,35,29,1501

29,41,35,1599

35,29,41,1525

35,41,32,1664

41,35,32,1626

32,41,35,1701

35,32,41,1670

35,41,35,1856

41,35,35,1805

35,35,41,1820

38,41,17,1025

41,38,17,1002

17,41,38,1078

38,17,41,991

38,41,20,1164

41,38,20,1123

20,41,38,1264

38,20,41,1165

38,41,23,1372

41,38,23,1343

23,41,38,1433

38,23,41,1319

38,41,26,1516

41,38,26,1484

26,41,38,1537

38,26,41,1490

38,41,29,1665

41,38,29,1623

29,41,38,1709

38,29,41,1655

38,41,32,1810

41,38,32,1753

32,41,38,1819

38,32,41,1814

38,41,35,2021

